Year,Season,Rk,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,YdsPerTarget,YdsPerRec,Rush,Yds,TD,Fum,Lost,FantasyPts
2016,REG,13,Geoff Swaim,TE,4,DAL,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,14,Gavin Escobar,TE,5,DAL,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,15,Geoff Swaim,TE,5,DAL,CIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,1,John Phillips,TE,3,DEN,CIN,4,2,50,9,1,8,2,5,0,0,0,0,0,7.90
2016,REG,2,Virgil Green,TE,2,DEN,IND,3,3,100,46,0,18,15,15,0,0,0,0,0,6.10
2016,REG,3,Virgil Green,TE,1,DEN,CAR,5,4,80,28,0,13,6,7,0,0,0,0,0,4.80
2016,REG,4,Jeff Heuerman,TE,3,DEN,CIN,1,1,100,29,0,29,29,29,0,0,0,0,0,3.40
2016,REG,5,Jeff Heuerman,TE,4,DEN,TB,1,1,100,19,0,19,19,19,0,0,0,0,0,2.40
2016,REG,6,John Phillips,TE,1,DEN,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,7,John Phillips,TE,2,DEN,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,8,John Phillips,TE,4,DEN,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,9,John Phillips,TE,5,DEN,ATL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,10,Jeff Heuerman,TE,5,DEN,ATL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,1,Eric Ebron,TE,1,DET,IND,5,5,100,46,1,13,9,9,0,0,0,0,0,13.10
2016,REG,2,Eric Ebron,TE,3,DET,GB,8,5,63,69,0,21,9,14,0,0,0,0,0,9.40
2016,REG,3,Eric Ebron,TE,2,DET,TEN,7,4,57,53,0,29,8,13,0,0,0,0,0,7.30
2016,REG,4,Eric Ebron,TE,4,DET,CHI,5,4,80,42,0,13,8,11,0,0,0,0,0,6.20
2016,REG,5,Cole Wick,TE,3,DET,GB,1,1,100,13,0,13,13,13,0,0,0,0,0,1.80
2016,REG,6,Cole Wick,TE,1,DET,IND,1,1,100,5,0,5,5,5,0,0,0,0,0,1.00
2016,REG,7,Khari Lee,TE,1,DET,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,8,Orson Charles,TE,2,DET,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,9,Khari Lee,TE,2,DET,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,10,Khari Lee,TE,3,DET,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,11,Orson Charles,TE,4,DET,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,12,Khari Lee,TE,4,DET,CHI,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,13,Cole Wick,TE,4,DET,CHI,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,14,Clay Harbor,TE,5,DET,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,15,Khari Lee,TE,5,DET,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,16,Cole Wick,TE,5,DET,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,1,Richard Rodgers,TE,3,GB,DET,3,2,67,9,1,7,3,5,0,0,0,0,0,7.90
2016,REG,2,Jared Cook,TE,2,GB,MIN,6,4,67,31,0,14,5,8,0,0,0,0,0,5.10
2016,REG,3,Richard Rodgers,TE,2,GB,MIN,2,2,100,25,0,15,13,13,0,0,0,0,0,3.50
2016,REG,4,Richard Rodgers,TE,1,GB,JAX,3,1,33,22,0,22,7,22,0,0,0,0,0,2.70
2016,REG,5,Jared Cook,TE,3,GB,DET,3,1,33,15,0,15,5,15,0,0,0,0,0,2.00
2016,REG,6,Justin Perillo,TE,3,GB,DET,1,1,100,13,0,13,13,13,0,0,0,0,0,1.80
2016,REG,7,Jared Cook,TE,1,GB,JAX,2,1,50,7,0,7,4,7,0,0,0,0,0,1.20
2016,REG,8,Richard Rodgers,TE,5,GB,NYG,5,1,20,6,0,6,1,6,0,0,0,0,0,1.10
2016,REG,9,Justin Perillo,TE,1,GB,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,10,Justin Perillo,TE,2,GB,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
