Year,Season,Rk,Player,Pos,Week,Team,Opp,Att,Yds,YdsPerAtt,TD,Targets,Rec,Yds,TD,Fum,Lost,FantasyPts
2016,REG,6,Robert Turbin,RB,2,IND,DEN,3,10,3,1,1,0,0,0,0,0,7.00
2016,REG,7,Robert Turbin,RB,3,IND,LAC,4,9,2,1,0,0,0,0,0,0,6.90
2016,REG,8,Josh Ferguson,RB,4,IND,JAX,3,-2,-1,0,10,7,33,0,0,0,6.60
2016,REG,9,Josh Ferguson,RB,2,IND,DEN,2,7,4,0,5,5,29,0,0,0,6.10
2016,REG,10,Josh Ferguson,RB,3,IND,LAC,1,2,2,0,4,3,29,0,0,0,4.60
2016,REG,11,Josh Ferguson,RB,1,IND,DET,1,-2,-2,0,2,2,26,0,0,0,3.40
2016,REG,12,Robert Turbin,RB,1,IND,DET,1,4,4,0,2,2,15,0,0,0,2.90
2016,REG,13,Josh Ferguson,RB,5,IND,CHI,1,3,3,0,4,2,10,0,0,0,2.30
2016,REG,14,Robert Turbin,RB,4,IND,JAX,1,2,2,0,3,2,3,0,0,0,1.50
2016,REG,15,Jordan Todman,RB,1,IND,DET,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,16,Jordan Todman,RB,2,IND,DEN,0,0,0,0,0,0,0,0,0,0,0.00
